Data,Região,Vendas,Produto
2024-05-11,ES,635,Monitor
2024-01-31,SP,819,Teclado
2024-04-06,SP,524,Mouse
2024-01-30,ES,777,Headset
2024-01-18,ES,423,Monitor
2024-03-09,RJ,539,Mouse
2024-01-06,SP,749,Mouse
2024-03-30,RJ,709,Mouse
2024-05-16,SP,127,Webcam
2024-04-20,ES,353,Teclado
2024-03-28,RJ,341,Teclado
2024-01-14,ES,253,Mouse
2024-05-01,ES,965,Notebook
2024-05-02,SP,443,Headset
2024-04-10,SP,499,Teclado
2024-02-14,MG,828,Notebook
2024-05-20,ES,599,Mouse
2024-02-17,SP,269,Teclado
2024-04-14,RJ,728,Headset
2024-03-05,RJ,140,Webcam
2024-04-27,SP,364,Mouse
2024-05-18,ES,242,Teclado
2024-02-09,SP,676,Webcam
2024-04-27,MG,746,Headset
2024-05-13,MG,848,Webcam
2024-04-29,ES,558,Notebook
2024-01-15,ES,449,Webcam
2024-02-22,MG,323,Webcam
2024-04-14,MG,665,Teclado
2024-03-04,MG,820,Teclado
2024-01-16,RJ,667,Monitor
2024-04-02,ES,654,Monitor
2024-03-14,SP,952,Notebook
2024-03-19,MG,681,Monitor
2024-02-18,MG,591,Headset
2024-01-31,RJ,138,Mouse
2024-01-05,SP,585,Headset
2024-01-30,RJ,261,Headset
2024-01-17,RJ,970,Teclado
2024-03-17,RJ,831,Webcam
2024-03-04,ES,124,Monitor
2024-02-12,RJ,502,Monitor
2024-02-09,ES,705,Webcam
2024-01-14,SP,637,Monitor
2024-03-16,SP,510,Monitor
2024-04-20,SP,597,Mouse
2024-04-25,MG,408,Notebook
2024-03-04,RJ,195,Mouse
2024-05-19,ES,708,Webcam
2024-05-07,MG,970,Teclado
2024-03-11,MG,963,Monitor
2024-03-26,MG,883,Teclado
2024-02-18,RJ,651,Monitor
2024-01-09,MG,857,Webcam
2024-02-25,ES,395,Webcam
2024-03-15,SP,488,Monitor
2024-04-18,SP,333,Notebook
2024-01-03,RJ,735,Headset
2024-02-02,ES,618,Teclado
2024-01-17,SP,137,Webcam
2024-05-04,SP,328,Headset
2024-04-18,SP,432,Notebook
2024-01-04,MG,152,Teclado
2024-03-13,SP,906,Notebook
2024-01-23,MG,815,Mouse
2024-04-09,SP,427,Mouse
2024-04-29,ES,153,Monitor
2024-03-31,SP,456,Notebook
2024-05-06,SP,441,Monitor
2024-03-23,SP,543,Headset
2024-03-13,MG,434,Headset
2024-04-06,RJ,444,Monitor
2024-03-13,MG,571,Mouse
2024-02-06,ES,685,Webcam
2024-03-22,SP,864,Mouse
2024-04-06,ES,392,Teclado
2024-01-01,RJ,354,Webcam
2024-02-29,SP,446,Webcam
2024-01-14,MG,916,Webcam
2024-03-01,ES,928,Mouse
2024-02-01,ES,521,Mouse
2024-04-05,MG,401,Monitor
2024-01-21,SP,659,Webcam
2024-01-08,MG,137,Headset
2024-02-09,ES,287,Teclado
2024-05-14,SP,913,Mouse
2024-03-18,RJ,920,Headset
2024-02-14,SP,335,Monitor
2024-05-23,SP,664,Webcam
2024-03-15,SP,623,Mouse
2024-02-03,MG,785,Mouse
2024-02-14,ES,827,Webcam
2024-03-19,MG,639,Mouse
2024-03-16,ES,927,Webcam
2024-04-28,RJ,908,Headset
2024-04-27,SP,416,Mouse
2024-02-10,SP,136,Notebook
2024-01-28,MG,953,Teclado
2024-02-24,RJ,386,Monitor
2024-03-09,ES,220,Headset
2024-03-06,RJ,978,Notebook
2024-01-17,RJ,981,Teclado
2024-01-16,RJ,614,Webcam
2024-04-16,ES,467,Headset
2024-04-29,RJ,320,Headset
2024-04-10,RJ,161,Headset
2024-02-04,MG,873,Headset
2024-03-27,RJ,345,Headset
2024-05-24,MG,951,Mouse
2024-04-03,SP,416,Monitor
2024-03-04,ES,167,Mouse
2024-05-27,ES,647,Teclado
2024-05-06,MG,154,Mouse
2024-03-08,SP,213,Monitor
2024-03-22,SP,194,Monitor
2024-02-27,ES,375,Headset
2024-05-12,RJ,737,Monitor
2024-04-03,SP,887,Headset
2024-04-23,MG,861,Webcam
2024-02-27,SP,667,Notebook
2024-05-10,RJ,124,Monitor
2024-05-04,MG,432,Webcam
2024-03-07,RJ,625,Webcam
2024-02-06,SP,985,Teclado
2024-05-08,SP,532,Mouse
2024-01-29,ES,524,Mouse
2024-05-03,SP,632,Mouse
2024-03-01,SP,762,Notebook
2024-01-15,SP,476,Mouse
2024-03-15,RJ,698,Notebook
2024-02-23,SP,201,Headset
2024-04-09,RJ,227,Teclado
2024-05-03,RJ,954,Monitor
2024-03-28,RJ,462,Notebook
2024-05-15,SP,954,Mouse
2024-04-12,MG,358,Monitor
2024-03-02,MG,392,Monitor
2024-01-09,RJ,629,Monitor
2024-01-21,SP,969,Headset
2024-03-22,RJ,188,Notebook
2024-05-15,MG,288,Mouse
2024-02-05,MG,526,Headset
2024-02-11,SP,498,Teclado
2024-02-14,ES,992,Webcam
2024-05-24,MG,201,Teclado
2024-05-05,MG,561,Headset
2024-04-01,MG,155,Teclado
2024-04-20,RJ,954,Notebook
2024-03-17,MG,501,Headset
2024-02-11,ES,977,Teclado
